,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.0,965.0,805.0,115.0,441.0,52.0,178.0,259.0,117.0,93.0,210.0,196.0,65.0,6.0,8.0,34.0,81.0,14.0,9.0,108.0,18.0,23.0,24.0,20.0
1,965.0,0.0,2178.0,453.0,1390.0,149.0,326.0,639.0,330.0,191.0,272.0,299.0,204.0,31.0,23.0,78.0,328.0,30.0,38.0,267.0,36.0,77.0,45.0,31.0
2,805.0,2178.0,0.0,775.0,2553.0,193.0,742.0,1054.0,562.0,336.0,471.0,899.0,272.0,34.0,32.0,84.0,288.0,45.0,48.0,286.0,90.0,127.0,61.0,47.0
3,115.0,453.0,775.0,0.0,786.0,111.0,234.0,340.0,237.0,121.0,131.0,150.0,90.0,15.0,41.0,63.0,134.0,35.0,13.0,193.0,16.0,47.0,29.0,11.0
4,441.0,1390.0,2553.0,786.0,0.0,540.0,1369.0,2295.0,1129.0,526.0,616.0,745.0,388.0,88.0,43.0,120.0,451.0,103.0,73.0,377.0,72.0,134.0,59.0,81.0
5,52.0,149.0,193.0,111.0,540.0,0.0,256.0,382.0,171.0,128.0,118.0,97.0,47.0,11.0,26.0,20.0,56.0,27.0,12.0,66.0,10.0,25.0,11.0,11.0
6,178.0,326.0,742.0,234.0,1369.0,256.0,0.0,1192.0,649.0,387.0,353.0,454.0,252.0,49.0,35.0,84.0,225.0,56.0,50.0,297.0,78.0,118.0,75.0,36.0
7,259.0,639.0,1054.0,340.0,2295.0,382.0,1192.0,0.0,2204.0,989.0,994.0,1057.0,696.0,97.0,89.0,220.0,803.0,112.0,88.0,594.0,80.0,220.0,112.0,86.0
8,117.0,330.0,562.0,237.0,1129.0,171.0,649.0,2204.0,0.0,1181.0,1014.0,1089.0,609.0,138.0,84.0,217.0,787.0,122.0,78.0,488.0,95.0,167.0,106.0,73.0
9,93.0,191.0,336.0,121.0,526.0,128.0,387.0,989.0,1181.0,0.0,964.0,1052.0,510.0,115.0,82.0,198.0,513.0,147.0,316.0,359.0,57.0,172.0,78.0,28.0
10,210.0,272.0,471.0,131.0,616.0,118.0,353.0,994.0,1014.0,964.0,0.0,1957.0,796.0,164.0,92.0,349.0,923.0,148.0,124.0,606.0,90.0,206.0,110.0,64.0
11,196.0,299.0,899.0,150.0,745.0,97.0,454.0,1057.0,1089.0,1052.0,1957.0,0.0,1733.0,408.0,186.0,566.0,1803.0,349.0,274.0,1223.0,336.0,476.0,242.0,154.0
12,65.0,204.0,272.0,90.0,388.0,47.0,252.0,696.0,609.0,510.0,796.0,1733.0,0.0,380.0,173.0,660.0,1645.0,253.0,188.0,1180.0,207.0,347.0,158.0,125.0
13,6.0,31.0,34.0,15.0,88.0,11.0,49.0,97.0,138.0,115.0,164.0,408.0,380.0,0.0,63.0,243.0,515.0,78.0,53.0,235.0,62.0,87.0,43.0,24.0
14,8.0,23.0,32.0,41.0,43.0,26.0,35.0,89.0,84.0,82.0,92.0,186.0,173.0,63.0,0.0,151.0,273.0,54.0,51.0,191.0,25.0,73.0,28.0,28.0
15,34.0,78.0,84.0,63.0,120.0,20.0,84.0,220.0,217.0,198.0,349.0,566.0,660.0,243.0,151.0,0.0,1388.0,164.0,145.0,645.0,72.0,195.0,82.0,71.0
16,81.0,328.0,288.0,134.0,451.0,56.0,225.0,803.0,787.0,513.0,923.0,1803.0,1645.0,515.0,273.0,1388.0,0.0,1382.0,903.0,4304.0,411.0,825.0,428.0,262.0
17,14.0,30.0,45.0,35.0,103.0,27.0,56.0,112.0,122.0,147.0,148.0,349.0,253.0,78.0,54.0,164.0,1382.0,0.0,546.0,1244.0,174.0,490.0,181.0,53.0
18,9.0,38.0,48.0,13.0,73.0,12.0,50.0,88.0,78.0,316.0,124.0,274.0,188.0,53.0,51.0,145.0,903.0,546.0,0.0,1384.0,183.0,446.0,227.0,87.0
19,108.0,267.0,286.0,193.0,377.0,66.0,297.0,594.0,488.0,359.0,606.0,1223.0,1180.0,235.0,191.0,645.0,4304.0,1244.0,1384.0,0.0,1499.0,3489.0,1393.0,787.0
20,18.0,36.0,90.0,16.0,72.0,10.0,78.0,80.0,95.0,57.0,90.0,336.0,207.0,62.0,25.0,72.0,411.0,174.0,183.0,1499.0,0.0,1140.0,453.0,186.0
21,23.0,77.0,127.0,47.0,134.0,25.0,118.0,220.0,167.0,172.0,206.0,476.0,347.0,87.0,73.0,195.0,825.0,490.0,446.0,3489.0,1140.0,0.0,3125.0,622.0
22,24.0,45.0,61.0,29.0,59.0,11.0,75.0,112.0,106.0,78.0,110.0,242.0,158.0,43.0,28.0,82.0,428.0,181.0,227.0,1393.0,453.0,3125.0,0.0,763.0
23,20.0,31.0,47.0,11.0,81.0,11.0,36.0,86.0,73.0,28.0,64.0,154.0,125.0,24.0,28.0,71.0,262.0,53.0,87.0,787.0,186.0,622.0,763.0,0.0
